accuracy,loss,precision,recall,f1_score,AUC,confusion matrix
0.6094527363184079,1.3227318264358672,0.8955223880597015,0.2857142857142857,0.4332129963898917,0.834375,"[[185   7]
 [150  60]]"
0.7661691542288557,0.8051829317315894,0.9142857142857143,0.6095238095238096,0.7314285714285714,0.920436507936508,"[[180  12]
 [ 82 128]]"
0.8980099502487562,0.613513867949965,0.9289340101522843,0.8714285714285714,0.8992628992628993,0.9605902777777778,"[[178  14]
 [ 27 183]]"
0.8532338308457711,0.6319980271420076,0.9934640522875817,0.7238095238095238,0.837465564738292,0.9890625,"[[191   1]
 [ 58 152]]"
0.8507462686567164,0.6255617586534414,0.987012987012987,0.7238095238095238,0.8351648351648352,0.9866815476190476,"[[190   2]
 [ 58 152]]"
0.9751243781094527,0.47225024732784254,0.9545454545454546,1.0,0.9767441860465117,0.9996527777777778,"[[182  10]
 [  0 210]]"
0.9626865671641791,0.48966307293123273,0.9949238578680203,0.9333333333333333,0.963144963144963,0.9988095238095238,"[[191   1]
 [ 14 196]]"
0.9925373134328358,0.426967242908715,1.0,0.9857142857142858,0.9928057553956835,0.9990823412698413,"[[192   0]
 [  3 207]]"
0.9925373134328358,0.42389190879034166,0.990521327014218,0.9952380952380953,0.9928741092636579,0.9989335317460318,"[[190   2]
 [  1 209]]"
0.9900497512437811,0.40128745724312703,0.9904761904761905,0.9904761904761905,0.9904761904761905,0.999702380952381,"[[190   2]
 [  2 208]]"
0.9900497512437811,0.40911171759538983,0.9951923076923077,0.9857142857142858,0.9904306220095694,0.9999007936507937,"[[191   1]
 [  3 207]]"
0.9950248756218906,0.38974649114395254,0.9952380952380953,0.9952380952380953,0.9952380952380953,0.9998759920634921,"[[191   1]
 [  1 209]]"
0.9800995024875622,0.4299198475050096,1.0,0.9619047619047619,0.9805825242718447,0.9999255952380953,"[[192   0]
 [  8 202]]"
0.9975124378109452,0.37734370860294325,0.995260663507109,1.0,0.997624703087886,1.0,"[[191   1]
 [  0 210]]"
0.9950248756218906,0.37604230316124154,0.9952380952380953,0.9952380952380953,0.9952380952380953,0.9998511904761904,"[[191   1]
 [  1 209]]"
0.9950248756218906,0.3817828920350146,1.0,0.9904761904761905,0.9952153110047847,1.0,"[[192   0]
 [  2 208]]"
0.9825870646766169,0.4038656088546734,0.9720930232558139,0.9952380952380953,0.9835294117647059,0.9998015873015873,"[[186   6]
 [  1 209]]"
0.9925373134328358,0.3878767262050761,1.0,0.9857142857142858,0.9928057553956835,0.9998015873015873,"[[192   0]
 [  3 207]]"
0.9975124378109452,0.3722007838054676,0.995260663507109,1.0,0.997624703087886,1.0,"[[191   1]
 [  0 210]]"
0.9975124378109452,0.3567151393166822,1.0,0.9952380952380953,0.9976133651551313,1.0,"[[192   0]
 [  1 209]]"
1.0,0.3496011731339924,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.35024655651097275,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
0.9925373134328358,0.3795949810772986,1.0,0.9857142857142858,0.9928057553956835,1.0,"[[192   0]
 [  3 207]]"
