accuracy,loss,precision,recall,f1_score,AUC,confusion matrix
1.0,0.3466569929573666,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.3429906237777786,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.34458476957397083,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.344047124409557,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.3410882804524246,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.33929085553582033,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.33852594601574226,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.3392659040232796,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.34242528410100226,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
0.9975124378109452,0.34027763178099446,0.995260663507109,1.0,0.997624703087886,1.0,"[[191   1]
 [  0 210]]"
1.0,0.33713865220843264,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.3353011222621102,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.3349699595970894,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.3343541909806171,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.335307403731702,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.3340687366267342,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
0.9925373134328358,0.343844048419402,1.0,0.9857142857142858,0.9928057553956835,1.0,"[[192   0]
 [  3 207]]"
1.0,0.3338171661789738,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.3312726646513488,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.33179176802658916,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.3296384191631678,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.3291891753970094,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.32883468433399105,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.3280422275339193,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.32757811611564597,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.3271839243559102,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.3266547165106778,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.3262100542955731,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.3257388032194394,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.32537235015660376,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.32482369518398646,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.32443484945676815,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.3239240253446114,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.32369178118397346,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.3232750619821881,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.3225839551705033,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
1.0,0.32207074094174515,1.0,1.0,1.0,1.0,"[[192   0]
 [  0 210]]"
